run_id,path,filename,ext,extraction_status,skipped_reason,category,domain,tags,contains_pii,confidence,summary,pii,glossary_terms,ai_cost_usd,sha1,engine,pages,language,ai,size_bytes,timestamp
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/2024 CHS Annual Meeting – Financial report by Olivia Nelligan.mp4,2024 CHS Annual Meeting – Financial report by Olivia Nelligan.mp4,.mp4,ok,,CHS Financial Report,finance,Fiscal Year 2024; Financial Performance; Energy Segment; Ag Segment; Nitrogen Production; Corporate and Other,False,0.9,Executive Vice President presents the CHS Financial Report for Fiscal Year 2024 highlighting a decline in revenue due to lower commodity prices but solid financial performance overall.,,,0.0,,faster_whisper,,,"{""ai_fast"": {""category"": ""CHS Financial Report"", ""domain"": ""finance"", ""tags"": [""Fiscal Year 2024"", ""Financial Performance"", ""Energy Segment"", ""Ag Segment"", ""Nitrogen Production"", ""Corporate and Other""], ""contains_pii"": false, ""confidence"": 0.9, ""summary"": ""Executive Vice President presents the CHS Financial Report for Fiscal Year 2024 highlighting a decline in revenue due to lower commodity prices but solid financial performance overall."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""CHS Financial Report"", ""confidence"": 0.0, ""pii"": [], ""glossary_terms"": [], ""summary"": """", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",31008362,2025-08-20T01:28:05.594661+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/shoe sizes.pdf,shoe sizes.pdf,.pdf,ok,,Product Catalog,it,Men's Shoes; Women's Shoes; Youth's Shoes; Fringe Shoes,False,0.9,"This file appears to be a product catalog listing various sizes and types of shoes for men, women, and youth.",,,0.0,,ocr,1,,"{""ai_fast"": {""category"": ""Product Catalog"", ""domain"": ""it"", ""tags"": [""Men's Shoes"", ""Women's Shoes"", ""Youth's Shoes"", ""Fringe Shoes""], ""contains_pii"": false, ""confidence"": 0.9, ""summary"": ""This file appears to be a product catalog listing various sizes and types of shoes for men, women, and youth."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Product Catalog"", ""confidence"": 0.0, ""pii"": [], ""glossary_terms"": [], ""summary"": """", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",24052,2025-08-20T01:28:21.899148+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Unrivaled_Team_Wear_Assessment_V1.1.pptx,Unrivaled_Team_Wear_Assessment_V1.1.pptx,.pptx,ok,,Business Strategy,it,Data Catalog; Data Asset Inventory; Heat Map; Assessment & Discovery; Business Impact Analysis; System Fit-Gap Analysis; Target State Business Application Recommendation,False,0.95,"This document outlines a Data Catalog solution for Unrivaled Team Wear - Company A by Anblicks, aiming to gather data asset inventory and perform various business processes analysis.",,,0.0,,python-pptx,,,"{""ai_fast"": {""category"": ""Business Strategy"", ""domain"": ""it"", ""tags"": [""Data Catalog"", ""Data Asset Inventory"", ""Heat Map"", ""Assessment & Discovery"", ""Business Impact Analysis"", ""System Fit-Gap Analysis"", ""Target State Business Application Recommendation""], ""contains_pii"": false, ""confidence"": 0.95, ""summary"": ""This document outlines a Data Catalog solution for Unrivaled Team Wear - Company A by Anblicks, aiming to gather data asset inventory and perform various business processes analysis."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Business Strategy"", ""confidence"": 0.0, ""pii"": [], ""glossary_terms"": [], ""summary"": """", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",27837969,2025-08-20T01:28:37.860863+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/SampleCatalogData_load.xlsx,SampleCatalogData_load.xlsx,.xlsx,ok,,Project Proposal,engineering,proposal; engineering project; spec; architecture; build; deploy,False,0.8,"An engineering proposal outlining a new project with specifications, architecture details, and potential impact on business units.",,metadata; data_asset_type; business_process; impacted_units; creation_date; access_date; ownership,0.0,,openpyxl,,,"{""ai_fast"": {""category"": ""Project Proposal"", ""domain"": ""engineering"", ""tags"": [""proposal"", ""engineering project"", ""spec"", ""architecture"", ""build"", ""deploy""], ""contains_pii"": false, ""confidence"": 0.8, ""summary"": ""An engineering proposal outlining a new project with specifications, architecture details, and potential impact on business units."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Project Proposal"", ""confidence"": 0.95, ""pii"": [], ""glossary_terms"": [""metadata"", ""data_asset_type"", ""business_process"", ""impacted_units"", ""creation_date"", ""access_date"", ""ownership""], ""summary"": ""The provided content outlines a metadata framework for data assets including details such as asset type, description, ownership, and business process involvement. It highlights the importance of tracking creation and access dates alongside impacted business units to ensure proper governance."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",9791,2025-08-20T01:29:20.897630+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/DataLoad.txt,DataLoad.txt,.txt,ok,,Budget Overview,finance,Budget; Fiscal Year; Department; Amount,True,0.95,This file contains a budget overview for various departments in the fiscal year 2025.,name,budget; forecast; actual_spend; variance; last_updated; department_finance; plan_id; fiscal_year; finance_data; management_metrics,0.0,,text,,,"{""ai_fast"": {""category"": ""Budget Overview"", ""domain"": ""finance"", ""tags"": [""Budget"", ""Fiscal Year"", ""Department"", ""Amount""], ""contains_pii"": true, ""confidence"": 0.95, ""summary"": ""This file contains a budget overview for various departments in the fiscal year 2025."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Budget Overview"", ""confidence"": 0.95, ""pii"": [""name""], ""glossary_terms"": [""budget"", ""forecast"", ""actual_spend"", ""variance"", ""last_updated"", ""department_finance"", ""plan_id"", ""fiscal_year"", ""finance_data"", ""management_metrics""], ""summary"": ""This dataset provides budget management details for various departments within an organization. It includes fields such as Plan ID, Department name, Fiscal Year, Budget Amounts, Actual Spend, and Last Updated information."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",436,2025-08-20T01:30:09.210740+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Assessment_Questionnaire_v1.1.xlsx,Assessment_Questionnaire_v1.1.xlsx,.xlsx,ok,,Business Strategy,general,Company A; Company B; Data Asset Classification; Overall Understanding; Phase 1; Structured Data,False,0.8,"This document discusses the strategy for classifying data assets between Company A and B, with a focus on Phase 1 and structured data.",,data classification; company comparison; phase 1 review; structured data,0.0,,openpyxl,,,"{""ai_fast"": {""category"": ""Business Strategy"", ""domain"": ""general"", ""tags"": [""Company A"", ""Company B"", ""Data Asset Classification"", ""Overall Understanding"", ""Phase 1"", ""Structured Data""], ""contains_pii"": false, ""confidence"": 0.8, ""summary"": ""This document discusses the strategy for classifying data assets between Company A and B, with a focus on Phase 1 and structured data."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Business Strategy"", ""confidence"": 0.85, ""pii"": [], ""glossary_terms"": [""data classification"", ""company comparison"", ""phase 1 review"", ""structured data""], ""summary"": ""The document outlines initial discussions on classifying data assets for Company A and B, explores the differences between these companies, and reviews Phase 1 activities. It also inquires about details related to structured data exploration."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",14448,2025-08-20T01:30:54.720188+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Voice_chat.docx,Voice_chat.docx,.docx,ok,,Business Strategy Meeting,it,ERP; SAP; Cognitas; UST; Kirp; NOE; ROE; score,False,0.85,"Meeting to discuss and align on the core business system platform for Unrivaled. Discussion includes plans to move data to the cloud, remediate infrastructure, and better understand the unstructured data around the enterprise.",,,0.0,,docx2txt,,,"{""ai_fast"": {""category"": ""Business Strategy Meeting"", ""domain"": ""it"", ""tags"": [""ERP"", ""SAP"", ""Cognitas"", ""UST"", ""Kirp"", ""NOE"", ""ROE"", ""score""], ""contains_pii"": false, ""confidence"": 0.85, ""summary"": ""Meeting to discuss and align on the core business system platform for Unrivaled. Discussion includes plans to move data to the cloud, remediate infrastructure, and better understand the unstructured data around the enterprise."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""unknown"", ""confidence"": 0.4, ""pii"": [], ""glossary_terms"": [], ""summary"": ""Transcript\n\nJuly 3, 2025, 3:32PM\n\n\nScott Gowdish started transcription\n\n\nMike Wind   0:03\nOurselves, because I want to kind of like go to framing what we're going to try to achieve and what each partner's role is in the process here. And then you can kind of introduce the people from your team after that and then we'll kind of jump into some some things we want to do to get this off the ground.\n\n\nSuresh Thiagaraja Viswanathan   0:10\nOK.\n\n\nMike Wind   0:20\nSo that's the the chain of events. I did..."", ""prompt_version"": ""deep-fallback""}, ""ai_cost_usd"": 0.0}",162398,2025-08-20T01:33:10.719163+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-25 075255.png,Screenshot 2025-07-25 075255.png,.png,ok,,Project Deliverables Overview,engineering,Phase 2; Deliverable Mapping; TVM; On-Prem; Apps and Data; KERP; MS Access; Oracle,False,0.85,"This document outlines the deliverables for Phase 2 of a project named TVM, possibly related to an on-premises system utilizing apps and data, with mentions of platforms like KERP, MS Access, and Oracle.",,TVM; Phase 2; Deliverable Mapping; Platform Migration; Sunset Scenario; Oracle Database; Windows Platform,0.0,,tesseract,,,"{""ai_fast"": {""category"": ""Project Deliverables Overview"", ""domain"": ""engineering"", ""tags"": [""Phase 2"", ""Deliverable Mapping"", ""TVM"", ""On-Prem"", ""Apps and Data"", ""KERP"", ""MS Access"", ""Oracle""], ""contains_pii"": false, ""confidence"": 0.85, ""summary"": ""This document outlines the deliverables for Phase 2 of a project named TVM, possibly related to an on-premises system utilizing apps and data, with mentions of platforms like KERP, MS Access, and Oracle."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Project Deliverables Overview"", ""confidence"": 0.9, ""pii"": [], ""glossary_terms"": [""TVM"", ""Phase 2"", ""Deliverable Mapping"", ""Platform Migration"", ""Sunset Scenario"", ""Oracle Database"", ""Windows Platform""], ""summary"": ""This document provides an overview of Phase 2 deliverable mapping for TVM, detailing application and data platforms in various environments. It outlines current systems, planned migrations to Oracle or Windows platforms, and potential sunset scenarios."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",359263,2025-08-20T01:34:13.332112+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-30 202355.png,Screenshot 2025-07-30 202355.png,.png,ok,,Inventory List,operations,Inventory; Shop; Division; Year; Files; Folders,False,0.9,"This appears to be a list of inventory for multiple shops by division for a year, stored in a file folder.",,,0.0,,tesseract,,,"{""ai_fast"": {""category"": ""Inventory List"", ""domain"": ""operations"", ""tags"": [""Inventory"", ""Shop"", ""Division"", ""Year"", ""Files"", ""Folders""], ""contains_pii"": false, ""confidence"": 0.9, ""summary"": ""This appears to be a list of inventory for multiple shops by division for a year, stored in a file folder."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Inventory List"", ""confidence"": 0.0, ""pii"": [], ""glossary_terms"": [], ""summary"": """", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",43504,2025-08-20T01:34:30.755914+00:00
20250819_212701_867a9bfb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-03 110017.png,Screenshot 2025-07-03 110017.png,.png,ok,,,,,,,,,,,,azure-disabled,,,{},374696,2025-08-20T01:34:30.895374+00:00
