run_id,path,filename,ext,extraction_status,skipped_reason,category,domain,tags,contains_pii,confidence,summary,pii,glossary_terms,ai_cost_usd,sha1,engine,pages,language,ai,size_bytes,timestamp
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/2024 CHS Annual Meeting – Financial report by Olivia Nelligan.mp4,2024 CHS Annual Meeting – Financial report by Olivia Nelligan.mp4,.mp4,ok,,CHS Financial Report for Fiscal Year 2024,finance,Financial Report; Fiscal Year 2024; CHS; Net Income; Revenues; Energy Segment; Ag Segment; Corporate and Other,False,0.95,"Presentation of CHS Financial Report for Fiscal Year 2024, discussing revenues, net income, and performance in energy and ag segments.",,,0.0,,faster_whisper,,,"{""ai_fast"": {""category"": ""CHS Financial Report for Fiscal Year 2024"", ""domain"": ""finance"", ""tags"": [""Financial Report"", ""Fiscal Year 2024"", ""CHS"", ""Net Income"", ""Revenues"", ""Energy Segment"", ""Ag Segment"", ""Corporate and Other""], ""contains_pii"": false, ""confidence"": 0.95, ""summary"": ""Presentation of CHS Financial Report for Fiscal Year 2024, discussing revenues, net income, and performance in energy and ag segments."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""CHS Financial Report for Fiscal Year 2024"", ""confidence"": 0.0, ""pii"": [], ""glossary_terms"": [], ""summary"": """", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",31008362,2025-08-20T04:29:30.463444+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/shoe sizes.pdf,shoe sizes.pdf,.pdf,ok,,,,,,,,,,,,ocr,1,,{},24052,2025-08-20T04:29:48.586752+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Unrivaled_Team_Wear_Assessment_V1.1.pptx,Unrivaled_Team_Wear_Assessment_V1.1.pptx,.pptx,ok,,Data Catalog Proposal,it,Data Catalog; Open-Source Data Catalog; Data Hub; Business Process Groups; Critical Data Elements; Heat Map; Assessment & Discovery; Business Impact Analysis,False,0.85,Proposal for developing a data catalog solution to gather inventory of Unrivaled Team Wear - Company A's data assets.,,data_catalog; heat_map; business_process_group; critical_data_element; system_of_origin; system_of_record; data_quality,0.0,,python-pptx,,,"{""ai_fast"": {""category"": ""Data Catalog Proposal"", ""domain"": ""it"", ""tags"": [""Data Catalog"", ""Open-Source Data Catalog"", ""Data Hub"", ""Business Process Groups"", ""Critical Data Elements"", ""Heat Map"", ""Assessment & Discovery"", ""Business Impact Analysis""], ""contains_pii"": false, ""confidence"": 0.85, ""summary"": ""Proposal for developing a data catalog solution to gather inventory of Unrivaled Team Wear - Company A's data assets."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Data Catalog Proposal"", ""confidence"": 0.95, ""pii"": [], ""glossary_terms"": [""data_catalog"", ""heat_map"", ""business_process_group"", ""critical_data_element"", ""system_of_origin"", ""system_of_record"", ""data_quality""], ""summary"": ""A Data Catalog solution aims to inventory data assets for Unrivaled Team Wear - Company A, focusing on banners like Knights Apparel and Gear for Sports. The catalog will support assessment, impact analysis, system gap identification, and target application recommendations. It includes mapping business process owners, prioritizing critical data elements, analyzing current data estates, and documenting challenges."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",27837969,2025-08-20T04:30:50.757207+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/SampleCatalogData_load.xlsx,SampleCatalogData_load.xlsx,.xlsx,ok,,Budget Report,finance,budget; expense; invoice; ledger; balance sheet; accounting,True,0.95,Financial report containing budget details and sensitive personal data,,data_asset; metadata_schema; ownership_details; business_process; timestamps; impacted_units; tags,0.0,,openpyxl,,,"{""ai_fast"": {""category"": ""Budget Report"", ""domain"": ""finance"", ""tags"": [""budget"", ""expense"", ""invoice"", ""ledger"", ""balance sheet"", ""accounting""], ""contains_pii"": true, ""confidence"": 0.95, ""summary"": ""Financial report containing budget details and sensitive personal data"", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Budget Report"", ""confidence"": 0.95, ""pii"": [], ""glossary_terms"": [""data_asset"", ""metadata_schema"", ""ownership_details"", ""business_process"", ""timestamps"", ""impacted_units"", ""tags""], ""summary"": ""The provided content outlines a metadata schema for data assets including fields such as asset type, description, ownership details, business process involvement, timestamps of creation and access, impacted business units, and metadata tags. This information helps users understand the structure and governance of various datasets within an organization."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",9791,2025-08-20T04:31:37.834125+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/DataLoad.txt,DataLoad.txt,.txt,ok,,Budget Overview,finance,Budget; Department; Fiscal Year; Spend; Variance; Update,True,0.85,This file provides a budget overview for various departments in the fiscal year 2025.,name,financial_planning; budget_management; variance_analysis; departmental_budgets; fiscal_year_2025; actual_spend; forecast_amount; last_updated_by; planning_variance,0.0,,text,,,"{""ai_fast"": {""category"": ""Budget Overview"", ""domain"": ""finance"", ""tags"": [""Budget"", ""Department"", ""Fiscal Year"", ""Spend"", ""Variance"", ""Update""], ""contains_pii"": true, ""confidence"": 0.85, ""summary"": ""This file provides a budget overview for various departments in the fiscal year 2025."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Budget Overview"", ""confidence"": 1.0, ""pii"": [""name""], ""glossary_terms"": [""financial_planning"", ""budget_management"", ""variance_analysis"", ""departmental_budgets"", ""fiscal_year_2025"", ""actual_spend"", ""forecast_amount"", ""last_updated_by"", ""planning_variance""], ""summary"": ""This dataset captures financial planning details for various departments within an organization in fiscal year 2025. It includes budget amounts, forecasts, actual spendings, and variances along with the user who last updated each record."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",436,2025-08-20T04:32:29.718152+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Assessment_Questionnaire_v1.1.xlsx,Assessment_Questionnaire_v1.1.xlsx,.xlsx,ok,,Project Management Plan,general,Project; Classification; Company A; Company B; Data Asset; Phase 1; Structured Data,False,0.8,This document appears to outline a plan for classifying data assets between two companies and discussing the work done in phase 1 of a project related to structured data.,,data_classification; phase_1_activities; structured_data_exploitation; company_a; company_b,0.0,,openpyxl,,,"{""ai_fast"": {""category"": ""Project Management Plan"", ""domain"": ""general"", ""tags"": [""Project"", ""Classification"", ""Company A"", ""Company B"", ""Data Asset"", ""Phase 1"", ""Structured Data""], ""contains_pii"": false, ""confidence"": 0.8, ""summary"": ""This document appears to outline a plan for classifying data assets between two companies and discussing the work done in phase 1 of a project related to structured data."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Project Management Plan"", ""confidence"": 0.75, ""pii"": [], ""glossary_terms"": [""data_classification"", ""phase_1_activities"", ""structured_data_exploitation"", ""company_a"", ""company_b""], ""summary"": ""The document outlines initial questions for understanding the distinction between data assets of Company A and B, including phase 1 activities and exploration of structured data. It seeks clarification on classification tasks and differences between companies but lacks specific details."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",14448,2025-08-20T04:33:15.834804+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Voice_chat.docx,Voice_chat.docx,.docx,ok,,Business Strategy,it,ERP; SAP; Cognitas; UST; Kirp; NOE; ROE; score,False,0.85,Discussion about the plan to transition from an outdated ERP system to SAP and discuss collaboration with various IT partners for this transition.,,,0.0,,docx2txt,,,"{""ai_fast"": {""category"": ""Business Strategy"", ""domain"": ""it"", ""tags"": [""ERP"", ""SAP"", ""Cognitas"", ""UST"", ""Kirp"", ""NOE"", ""ROE"", ""score""], ""contains_pii"": false, ""confidence"": 0.85, ""summary"": ""Discussion about the plan to transition from an outdated ERP system to SAP and discuss collaboration with various IT partners for this transition."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""unknown"", ""confidence"": 0.4, ""pii"": [], ""glossary_terms"": [], ""summary"": ""Transcript\n\nJuly 3, 2025, 3:32PM\n\n\nScott Gowdish started transcription\n\n\nMike Wind   0:03\nOurselves, because I want to kind of like go to framing what we're going to try to achieve and what each partner's role is in the process here. And then you can kind of introduce the people from your team after that and then we'll kind of jump into some some things we want to do to get this off the ground.\n\n\nSuresh Thiagaraja Viswanathan   0:10\nOK.\n\n\nMike Wind   0:20\nSo that's the the chain of events. I did..."", ""prompt_version"": ""deep-fallback""}, ""ai_cost_usd"": 0.0}",162398,2025-08-20T04:35:47.763474+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-25 075255.png,Screenshot 2025-07-25 075255.png,.png,ok,,IT Infrastructure Overview,it,TVM; Phase 2 Deliverable Mapping; Overview; ust &cognitus; au 17 Opt; apabllity Op; fap; nera,False,0.75,"This document appears to be an IT infrastructure overview for a project named TVM in its phase 2, discussing various platforms such as Anfiesonarsan, ArtiesonAd,sAN, Oracle on AD, Oracle on AX Logityon Win, and others.",,TVM Phase 2; Deliverable Mapping; On Premise; Oracle Platform; MS Access; Application Migration; Data Platforms,0.0,,tesseract,,,"{""ai_fast"": {""category"": ""IT Infrastructure Overview"", ""domain"": ""it"", ""tags"": [""TVM"", ""Phase 2 Deliverable Mapping"", ""Overview"", ""ust &cognitus"", ""au 17 Opt"", ""apabllity Op"", ""fap"", ""nera""], ""contains_pii"": false, ""confidence"": 0.75, ""summary"": ""This document appears to be an IT infrastructure overview for a project named TVM in its phase 2, discussing various platforms such as Anfiesonarsan, ArtiesonAd,sAN, Oracle on AD, Oracle on AX Logityon Win, and others."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""IT Infrastructure Overview"", ""confidence"": 0.85, ""pii"": [], ""glossary_terms"": [""TVM Phase 2"", ""Deliverable Mapping"", ""On Premise"", ""Oracle Platform"", ""MS Access"", ""Application Migration"", ""Data Platforms""], ""summary"": ""This document provides an overview of the second phase deliverable mapping for TVM, focusing on various applications and data platforms hosted both on-premises. It outlines current and future states of enterprise software environments, including transitions to newer systems such as Oracle and MS Access."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",359263,2025-08-20T04:36:45.742524+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-30 202355.png,Screenshot 2025-07-30 202355.png,.png,ok,,Business Operations,operations,Shop Data; Division; Year; Security; File Folder; Under Armour; Concept Shop,False,0.75,"A comprehensive folder containing shop data by division for the year of 2021 from Under Armour's Concept Shop, archived and set as read-only.",,Under Armour; Concept Shop; File Folder; Division Data; Yearly Archive; Read-Only Access,0.0,,tesseract,,,"{""ai_fast"": {""category"": ""Business Operations"", ""domain"": ""operations"", ""tags"": [""Shop Data"", ""Division"", ""Year"", ""Security"", ""File Folder"", ""Under Armour"", ""Concept Shop""], ""contains_pii"": false, ""confidence"": 0.75, ""summary"": ""A comprehensive folder containing shop data by division for the year of 2021 from Under Armour's Concept Shop, archived and set as read-only."", ""prompt_version"": ""fast-v2-rich""}, ""ai_deep_local"": {""category"": ""Business Operations"", ""confidence"": 0.9, ""pii"": [], ""glossary_terms"": [""Under Armour"", ""Concept Shop"", ""File Folder"", ""Division Data"", ""Yearly Archive"", ""Read-Only Access""], ""summary"": ""This file folder contains data related to various shops within the Under Armour division for a specific year. It includes extensive documentation and files spread across numerous subfolders, totaling nearly 915 GB of data with read-only access attributes."", ""prompt_version"": ""deep-v2-rich""}, ""ai_cost_usd"": 0.0}",43504,2025-08-20T04:37:37.101262+00:00
20250820_002825_44909f88,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-03 110017.png,Screenshot 2025-07-03 110017.png,.png,ok,,,,,,,,,,,,azure-disabled,,,{},374696,2025-08-20T04:37:37.693961+00:00
